prix,ville,chambres,salledebain,secteur,salons,etage,surface,prix_m2
1279000.0,Casablanca,1.0,1.0,les princesses,1.0,5.0,55.0,23254.545454545456
570000.0,Kénitra,2.0,2.0,autre secteur,2.0,3.0,75.0,7600.0
9000.0,Martil,3.0,2.0,toute la ville,1.0,1.0,80.0,112.5
489998.0,Sidi Kacem,3.0,2.0,toute la ville,2.0,2.0,101.0,4851.465346534654
1250000.0,Dar Bouazza,3.0,2.0,toute la ville,2.0,1.0,110.0,11363.636363636364
380000.0,Marrakech,2.0,1.0,mabrouka,1.0,4.0,51.0,7450.980392156863
1060000.0,Mohammedia,3.0,1.0,mimosas,1.0,1.0,87.0,12183.908045977012
799000.0,Bouskoura,2.0,2.0,bouskoura centre,1.0,3.0,90.0,8877.777777777777
650000.0,Bouznika,2.0,2.0,autre secteur,2.0,2.0,65.0,10000.0
3550000.0,Casablanca,4.0,3.0,ain diab,1.0,5.0,155.0,22903.225806451614
1279000.0,Casablanca,1.0,1.0,les princesses,1.0,5.0,55.0,23254.545454545456
570000.0,Kénitra,2.0,2.0,autre secteur,2.0,3.0,75.0,7600.0
9000.0,Martil,3.0,2.0,toute la ville,1.0,1.0,80.0,112.5
489998.0,Sidi Kacem,3.0,2.0,toute la ville,2.0,2.0,101.0,4851.465346534654
1250000.0,Dar Bouazza,3.0,2.0,toute la ville,2.0,1.0,110.0,11363.636363636364
380000.0,Marrakech,2.0,1.0,mabrouka,1.0,4.0,51.0,7450.980392156863
550000.0,Tanger,2.0,1.0,marjane,1.0,2.0,45.0,12222.222222222223
792000.0,Casablanca,1.0,1.0,maarif,1.0,3.0,36.0,22000.0
840000.0,Marrakech,1.0,1.0,majorelle,1.0,3.0,49.0,17142.85714285714
1550000.0,Casablanca,3.0,2.0,hermitage,1.0,3.0,100.0,15500.0
480000.0,Marrakech,2.0,1.0,mabrouka,1.0,4.0,52.0,9230.76923076923
700000.0,Casablanca,2.0,2.0,sidi maarouf,1.0,2.0,84.0,8333.333333333334
630000.0,Fès,2.0,2.0,route ain chkaf,1.0,2.0,100.0,6300.0
1070000.0,Tanger,2.0,1.0,azib haj kaddour,1.0,3.0,82.0,13048.780487804877
1880000.0,Tanger,3.0,2.0,centre,2.0,8.0,113.0,16637.16814159292
1100000.0,Tamesna,3.0,2.0,toute la ville,2.0,2.0,118.0,9322.033898305084
650000.0,Martil,3.0,2.0,toute la ville,1.0,2.0,83.0,7831.325301204819
590000.0,Martil,2.0,1.0,toute la ville,1.0,2.0,65.0,9076.923076923076
1080000.0,Mohammedia,2.0,2.0,centre ville,1.0,2.0,97.0,11134.0206185567
790000.0,Bouskoura,2.0,1.0,bouskoura centre,1.0,3.0,83.0,9518.072289156626
640000.0,Marrakech,2.0,2.0,hay targa,1.0,2.0,68.0,9411.764705882353
1300000.0,Rabat,1.0,0.0,agdal,1.0,1.0,64.0,20312.5
1590000.0,Casablanca,3.0,3.0,la gironde,2.0,2.0,160.0,9937.5
650000.0,Saidia,2.0,1.0,toute la ville,1.0,1.0,82.0,7926.829268292683
730000.0,Agadir,2.0,2.0,hay salam,1.0,3.0,80.0,9125.0
640000.0,Marrakech,2.0,2.0,hay targa,1.0,2.0,68.0,9411.764705882353
1300000.0,Rabat,1.0,0.0,agdal,1.0,1.0,64.0,20312.5
1590000.0,Casablanca,3.0,3.0,la gironde,2.0,2.0,160.0,9937.5
1950000.0,Casablanca,2.0,2.0,bourgogne,1.0,2.0,148.0,13175.675675675675
