prix,ville,chambres,salledebain,secteur,salons,etage,surface,prix_m2
4500.0,Mohammedia,1.0,1.0,mimosas,1.0,2.0,55.0,81.81818181818181
3200.0,Casablanca,2.0,1.0,sidi maarouf,2.0,3.0,71.0,45.070422535211264
6000.0,Mohammedia,2.0,1.0,quartier du parc,1.0,5.0,86.0,69.76744186046511
12500.0,Rabat,3.0,2.0,agdal,1.0,2.0,130.0,96.15384615384616
11000.0,Casablanca,3.0,2.0,anfa,1.0,5.0,160.0,68.75
6500.0,Temara,2.0,2.0,val d'or,1.0,2.0,85.0,76.47058823529412
5500.0,Casablanca,2.0,1.0,la gironde,1.0,1.0,85.0,64.70588235294117
4000.0,El Mansouria,1.0,1.0,toute la ville,1.0,2.0,64.0,62.5
4500.0,Mohammedia,1.0,1.0,mimosas,1.0,2.0,55.0,81.81818181818181
3200.0,Casablanca,2.0,1.0,sidi maarouf,2.0,3.0,71.0,45.070422535211264
6000.0,Mohammedia,2.0,1.0,quartier du parc,1.0,5.0,86.0,69.76744186046511
12500.0,Rabat,3.0,2.0,agdal,1.0,2.0,130.0,96.15384615384616
11000.0,Casablanca,3.0,2.0,anfa,1.0,5.0,160.0,68.75
6500.0,Temara,2.0,2.0,val d'or,1.0,2.0,85.0,76.47058823529412
5500.0,Casablanca,2.0,1.0,la gironde,1.0,1.0,85.0,64.70588235294117
7000.0,Mohammedia,1.0,1.0,quartier du parc,1.0,2.0,60.0,116.66666666666667
5800.0,Casablanca,2.0,2.0,abdelmoumen,1.0,3.0,90.0,64.44444444444444
4300.0,Temara,2.0,1.0,riad oulad mtaa,1.0,2.0,70.0,61.42857142857143
7500.0,Casablanca,1.0,1.0,oasis,1.0,3.0,59.0,127.11864406779661
6000.0,Casablanca,3.0,2.0,belvedere,1.0,1.0,18.0,333.3333333333333
5000.0,Casablanca,1.0,1.0,oulfa,1.0,4.0,52.0,96.15384615384616
3500.0,Mohammedia,2.0,1.0,autre secteur,1.0,1.0,73.0,47.945205479452056
4500.0,Casablanca,1.0,1.0,belvedere,1.0,3.0,52.0,86.53846153846153
5000.0,Casablanca,2.0,1.0,californie,1.0,4.0,70.0,71.42857142857143
